Grain,Date,Manager,BeerProduction,YearMean,YearMedian,IsBeerProductionGreaterThanYearMean
grain,1999/10/01,"田中 政雄",5849,5610.83,5724.50,"yes"
grain,1999/11/01,"田中 政雄",6180,5610.83,5724.50,"yes"
grain,1999/12/01,"田中 政雄",6771,5610.83,5724.50,"yes"
grain,2000/01/01,"田中 政雄",4243,5944.75,6165.00,"no"
grain,2000/02/01,"田中 政雄",4952,5944.75,6165.00,"no"
grain,2000/03/01,"小幡 健司",6008,5944.75,6165.00,"yes"
grain,2000/04/01,"島 慎太郎",5353,5944.75,6165.00,"no"
grain,2000/05/01,"島 慎太郎",6435,5944.75,6165.00,"yes"
grain,2000/06/01,"島 慎太郎",6673,5944.75,6165.00,"yes"
grain,2000/07/01,"島 慎太郎",5636,5944.75,6165.00,"no"
grain,2000/08/01,"島 慎太郎",6630,5944.75,6165.00,"yes"
grain,2000/09/01,"島 慎太郎",5887,5944.75,6165.00,"no"
grain,2000/10/01,"島 慎太郎",6322,5944.75,6165.00,"yes"
grain,2000/11/01,"島 慎太郎",6520,5944.75,6165.00,"yes"
grain,2000/12/01,"島 慎太郎",6678,5944.75,6165.00,"yes"
grain,2001/01/01,"島 慎太郎",5082,6237.83,6459.50,"no"
grain,2001/02/01,"島 慎太郎",5216,6237.83,6459.50,"no"
grain,2001/03/01,"島 慎太郎",5893,6237.83,6459.50,"no"
grain,2001/04/01,"島 慎太郎",5894,6237.83,6459.50,"no"
grain,2001/05/01,"島 慎太郎",6799,6237.83,6459.50,"yes"
grain,2001/06/01,"島 慎太郎",6667,6237.83,6459.50,"yes"
grain,2001/07/01,"島 慎太郎",6374,6237.83,6459.50,"yes"
grain,2001/08/01,"島 慎太郎",6840,6237.83,6459.50,"yes"
grain,2001/09/01,"島 慎太郎",5575,6237.83,6459.50,"no"
grain,2001/10/01,"島 慎太郎",6545,6237.83,6459.50,"yes"
grain,2001/11/01,"島 慎太郎",6789,6237.83,6459.50,"yes"
grain,2001/12/01,"島 慎太郎",7180,6237.83,6459.50,"yes"
grain,2002/01/01,"島 慎太郎",5117,6599.08,6738.50,"no"
grain,2002/02/01,"島 慎太郎",5442,6599.08,6738.50,"no"
grain,2002/03/01,"島 慎太郎",6337,6599.08,6738.50,"no"
grain,2002/04/01,"島 慎太郎",6525,6599.08,6738.50,"no"
grain,2002/05/01,"島 慎太郎",7216,6599.08,6738.50,"yes"
grain,2002/06/01,"島 慎太郎",6761,6599.08,6738.50,"yes"
grain,2002/07/01,"島 慎太郎",6958,6599.08,6738.50,"yes"
grain,2002/08/01,"島 慎太郎",7070,6599.08,6738.50,"yes"
grain,2002/09/01,"島 慎太郎",6148,6599.08,6738.50,"no"
grain,2002/10/01,"島 慎太郎",6924,6599.08,6738.50,"yes"
grain,2002/11/01,"島 慎太郎",6716,6599.08,6738.50,"yes"
grain,2002/12/01,"島 慎太郎",7975,6599.08,6738.50,"yes"
grain,2003/01/01,"島 慎太郎",5326,6903.67,6988.00,"no"
grain,2003/02/01,"島 慎太郎",5609,6903.67,6988.00,"no"
grain,2003/03/01,"島 慎太郎",6414,6903.67,6988.00,"no"
grain,2003/04/01,"島 慎太郎",6741,6903.67,6988.00,"no"
grain,2003/05/01,"島 慎太郎",7144,6903.67,6988.00,"yes"
grain,2003/06/01,"島 慎太郎",7133,6903.67,6988.00,"yes"
grain,2003/07/01,"島 慎太郎",7568,6903.67,6988.00,"yes"
grain,2003/08/01,"島 慎太郎",7266,6903.67,6988.00,"yes"
grain,2003/09/01,"島 慎太郎",6634,6903.67,6988.00,"no"
grain,2003/10/01,"島 慎太郎",7626,6903.67,6988.00,"yes"
grain,2003/11/01,"島 慎太郎",6843,6903.67,6988.00,"no"
grain,2003/12/01,"島 慎太郎",8540,6903.67,6988.00,"yes"
grain,2004/01/01,"島 慎太郎",5629,7243.17,7278.50,"no"
grain,2004/02/01,"島 慎太郎",5898,7243.17,7278.50,"no"
grain,2004/03/01,"島 慎太郎",7045,7243.17,7278.50,"no"
grain,2004/04/01,"島 慎太郎",7094,7243.17,7278.50,"no"
grain,2004/05/01,"島 慎太郎",7333,7243.17,7278.50,"yes"
grain,2004/06/01,"島 慎太郎",7918,7243.17,7278.50,"yes"
grain,2004/07/01,"島 慎太郎",7289,7243.17,7278.50,"yes"
grain,2004/08/01,"島 慎太郎",7396,7243.17,7278.50,"yes"
grain,2004/09/01,"島 慎太郎",7259,7243.17,7278.50,"yes"
grain,2004/10/01,"島 慎太郎",7268,7243.17,7278.50,"yes"
grain,2004/11/01,"島 慎太郎",7731,7243.17,7278.50,"yes"
grain,2004/12/01,"島 慎太郎",9058,7243.17,7278.50,"yes"
grain,2005/01/01,"島 慎太郎",5557,7685.42,7732.00,"no"
grain,2005/02/01,"島 慎太郎",6237,7685.42,7732.00,"no"
grain,2005/03/01,"島 慎太郎",7723,7685.42,7732.00,"yes"
grain,2005/04/01,"島 慎太郎",7262,7685.42,7732.00,"no"
grain,2005/05/01,"島 慎太郎",8241,7685.42,7732.00,"yes"
grain,2005/06/01,"島 慎太郎",8757,7685.42,7732.00,"yes"
grain,2005/07/01,"島 慎太郎",7352,7685.42,7732.00,"no"
grain,2005/08/01,"島 慎太郎",8496,7685.42,7732.00,"yes"
grain,2005/09/01,"島 慎太郎",7741,7685.42,7732.00,"yes"
grain,2005/10/01,"島 慎太郎",7710,7685.42,7732.00,"yes"
grain,2005/11/01,"島 慎太郎",8247,7685.42,7732.00,"yes"
grain,2005/12/01,"島 慎太郎",8902,7685.42,7732.00,"yes"
grain,2006/01/01,"島 慎太郎",6066,8198.50,8338.50,"no"
grain,2006/02/01,"島 慎太郎",6590,8198.50,8338.50,"no"
grain,2006/03/01,"島 慎太郎",7923,8198.50,8338.50,"no"
grain,2006/04/01,"島 慎太郎",7335,8198.50,8338.50,"no"
grain,2006/05/01,"島 慎太郎",8843,8198.50,8338.50,"yes"
grain,2006/06/01,"島 慎太郎",9327,8198.50,8338.50,"yes"
grain,2006/07/01,"島 慎太郎",7792,8198.50,8338.50,"no"
grain,2006/08/01,"島 慎太郎",9156,8198.50,8338.50,"yes"
grain,2006/09/01,"島 慎太郎",8037,8198.50,8338.50,"no"
grain,2006/10/01,"島 慎太郎",8640,8198.50,8338.50,"yes"
grain,2006/11/01,"島 慎太郎",9128,8198.50,8338.50,"yes"
grain,2006/12/01,"島 慎太郎",9545,8198.50,8338.50,"yes"
grain,2007/01/01,"島 慎太郎",6627,8652.08,8999.00,"no"
grain,2007/02/01,"島 慎太郎",6743,8652.08,8999.00,"no"
grain,2007/03/01,"島 慎太郎",8195,8652.08,8999.00,"no"
grain,2007/04/01,"島 慎太郎",7828,8652.08,8999.00,"no"
grain,2007/05/01,"島 慎太郎",9570,8652.08,8999.00,"yes"
grain,2007/06/01,"島 慎太郎",9484,8652.08,8999.00,"yes"
grain,2007/07/01,"島 慎太郎",8608,8652.08,8999.00,"no"
grain,2007/08/01,"島 慎太郎",9543,8652.08,8999.00,"yes"
grain,2007/09/01,"島 慎太郎",8123,8652.08,8999.00,"no"
grain,2007/10/01,"島 慎太郎",9649,8652.08,8999.00,"yes"
grain,2007/11/01,"島 慎太郎",9390,8652.08,8999.00,"yes"
grain,2007/12/01,"島 慎太郎",10065,8652.08,8999.00,"yes"
grain,2008/01/01,"島 慎太郎",7093,9108.75,9300.00,"no"
grain,2008/02/01,"島 慎太郎",7483,9108.75,9300.00,"no"
grain,2008/03/01,"島 慎太郎",8365,9108.75,9300.00,"no"
grain,2008/04/01,"島 慎太郎",8895,9108.75,9300.00,"no"
grain,2008/05/01,"島 慎太郎",9794,9108.75,9300.00,"yes"
grain,2008/06/01,"島 慎太郎",9977,9108.75,9300.00,"yes"
grain,2008/07/01,"島 慎太郎",9553,9108.75,9300.00,"yes"
grain,2008/08/01,"島 慎太郎",9375,9108.75,9300.00,"yes"
grain,2008/09/01,"島 慎太郎",9225,9108.75,9300.00,"yes"
grain,2008/10/01,"島 慎太郎",9948,9108.75,9300.00,"yes"
grain,2008/11/01,"島 慎太郎",8758,9108.75,9300.00,"no"
grain,2008/12/01,"島 慎太郎",10839,9108.75,9300.00,"yes"
grain,2009/01/01,"島 慎太郎",7266,9066.58,9118.50,"no"
grain,2009/02/01,"島 慎太郎",7578,9066.58,9118.50,"no"
grain,2009/03/01,"島 慎太郎",8688,9066.58,9118.50,"no"
grain,2009/04/01,"島 慎太郎",9162,9066.58,9118.50,"yes"
grain,2009/05/01,"島 慎太郎",9369,9066.58,9118.50,"yes"
grain,2009/06/01,"島 慎太郎",10167,9066.58,9118.50,"yes"
grain,2009/07/01,"栗原 孝治",9507,9066.58,9118.50,"yes"
grain,2009/08/01,"栗原 孝治",8923,9066.58,9118.50,"no"
grain,2009/09/01,"栗原 孝治",9272,9066.58,9118.50,"yes"
grain,2009/10/01,"栗原 孝治",9075,9066.58,9118.50,"yes"
grain,2009/11/01,"栗原 孝治",8949,9066.58,9118.50,"no"
grain,2009/12/01,"栗原 孝治",10843,9066.58,9118.50,"yes"
grain,2010/01/01,"栗原 孝治",6558,9278.75,9416.50,"no"
grain,2010/02/01,"栗原 孝治",7481,9278.75,9416.50,"no"
grain,2010/03/01,"栗原 孝治",9475,9278.75,9416.50,"yes"
grain,2010/04/01,"栗原 孝治",9424,9278.75,9416.50,"yes"
grain,2010/05/01,"栗原 孝治",9351,9278.75,9416.50,"yes"
grain,2010/06/01,"栗原 孝治",10552,9278.75,9416.50,"yes"
grain,2010/07/01,"栗原 孝治",9077,9278.75,9416.50,"no"
grain,2010/08/01,"栗原 孝治",9273,9278.75,9416.50,"no"
grain,2010/09/01,"栗原 孝治",9420,9278.75,9416.50,"yes"
grain,2010/10/01,"栗原 孝治",9413,9278.75,9416.50,"yes"
grain,2010/11/01,"栗原 孝治",9866,9278.75,9416.50,"yes"
grain,2010/12/01,"栗原 孝治",11455,9278.75,9416.50,"yes"
grain,2011/01/01,"栗原 孝治",6901,9701.83,9899.50,"no"
grain,2011/02/01,"栗原 孝治",8014,9701.83,9899.50,"no"
grain,2011/03/01,"栗原 孝治",9832,9701.83,9899.50,"yes"
grain,2011/04/01,"栗原 孝治",9281,9701.83,9899.50,"no"
grain,2011/05/01,"栗原 孝治",9967,9701.83,9899.50,"yes"
grain,2011/06/01,"栗原 孝治",11344,9701.83,9899.50,"yes"
grain,2011/07/01,"栗原 孝治",9106,9701.83,9899.50,"no"
grain,2011/08/01,"栗原 孝治",10469,9701.83,9899.50,"yes"
grain,2011/09/01,"栗原 孝治",10085,9701.83,9899.50,"yes"
grain,2011/10/01,"栗原 孝治",9612,9701.83,9899.50,"no"
grain,2011/11/01,"栗原 孝治",10328,9701.83,9899.50,"yes"
grain,2011/12/01,"栗原 孝治",11483,9701.83,9899.50,"yes"
grain,2012/01/01,"栗原 孝治",7486,10170.33,10299.50,"no"
grain,2012/02/01,"栗原 孝治",8641,10170.33,10299.50,"no"
grain,2012/03/01,"栗原 孝治",9709,10170.33,10299.50,"no"
grain,2012/04/01,"栗原 孝治",9423,10170.33,10299.50,"no"
grain,2012/05/01,"栗原 孝治",11342,10170.33,10299.50,"yes"
grain,2012/06/01,"栗原 孝治",11274,10170.33,10299.50,"yes"
grain,2012/07/01,"栗原 孝治",9845,10170.33,10299.50,"no"
grain,2012/08/01,"栗原 孝治",11163,10170.33,10299.50,"yes"
grain,2012/09/01,"栗原 孝治",9532,10170.33,10299.50,"no"
grain,2012/10/01,"栗原 孝治",10754,10170.33,10299.50,"yes"
grain,2012/11/01,"栗原 孝治",10953,10170.33,10299.50,"yes"
grain,2012/12/01,"栗原 孝治",11922,10170.33,10299.50,"yes"
grain,2013/01/01,"栗原 孝治",8395,10834.83,11162.00,"no"
grain,2013/02/01,"栗原 孝治",8888,10834.83,11162.00,"no"
grain,2013/03/01,"栗原 孝治",10110,10834.83,11162.00,"no"
grain,2013/04/01,"栗原 孝治",10493,10834.83,11162.00,"no"
grain,2013/05/01,"栗原 孝治",12218,10834.83,11162.00,"yes"
grain,2013/06/01,"栗原 孝治",11385,10834.83,11162.00,"yes"
grain,2013/07/01,"栗原 孝治",11186,10834.83,11162.00,"yes"
grain,2013/08/01,"栗原 孝治",11462,10834.83,11162.00,"yes"
grain,2013/09/01,"栗原 孝治",10494,10834.83,11162.00,"no"
grain,2013/10/01,"栗原 孝治",11540,10834.83,11162.00,"yes"
grain,2013/11/01,"栗原 孝治",11138,10834.83,11162.00,"yes"
grain,2013/12/01,"栗原 孝治",12709,10834.83,11162.00,"yes"
grain,2014/01/01,"栗原 孝治",8557,10892.92,10971.00,"no"
grain,2014/02/01,"栗原 孝治",9059,10892.92,10971.00,"no"
grain,2014/03/01,"栗原 孝治",10055,10892.92,10971.00,"no"
grain,2014/04/01,"栗原 孝治",10977,10892.92,10971.00,"yes"
grain,2014/05/01,"栗原 孝治",11792,10892.92,10971.00,"yes"
grain,2014/06/01,"栗原 孝治",11904,10892.92,10971.00,"yes"
grain,2014/07/01,"栗原 孝治",10965,10892.92,10971.00,"yes"
grain,2014/08/01,"栗原 孝治",10981,10892.92,10971.00,"yes"
grain,2014/09/01,"栗原 孝治",10828,10892.92,10971.00,"no"
grain,2014/10/01,"栗原 孝治",11817,10892.92,10971.00,"yes"
grain,2014/11/01,"栗原 孝治",10470,10892.92,10971.00,"no"
grain,2014/12/01,"栗原 孝治",13310,10892.92,10971.00,"yes"
grain,2015/01/01,"栗原 孝治",8400,11374.17,11507.00,"no"
grain,2015/02/01,"栗原 孝治",9062,11374.17,11507.00,"no"
grain,2015/03/01,"栗原 孝治",10722,11374.17,11507.00,"no"
grain,2015/04/01,"栗原 孝治",11107,11374.17,11507.00,"no"
grain,2015/05/01,"栗原 孝治",11508,11374.17,11507.00,"yes"
grain,2015/06/01,"栗原 孝治",12904,11374.17,11507.00,"yes"
grain,2015/07/01,"栗原 孝治",11869,11374.17,11507.00,"yes"
grain,2015/08/01,"栗原 孝治",11224,11374.17,11507.00,"no"
grain,2015/09/01,"栗原 孝治",12022,11374.17,11507.00,"yes"
grain,2015/10/01,"栗原 孝治",11983,11374.17,11507.00,"yes"
grain,2015/11/01,"栗原 孝治",11506,11374.17,11507.00,"yes"
grain,2015/12/01,"栗原 孝治",14183,11374.17,11507.00,"yes"
grain,2016/01/01,"栗原 孝治",8650,11978.92,12176.50,"no"
grain,2016/02/01,"栗原 孝治",10323,11978.92,12176.50,"no"
grain,2016/03/01,"栗原 孝治",12110,11978.92,12176.50,"yes"
grain,2016/04/01,"栗原 孝治",11424,11978.92,12176.50,"no"
grain,2016/05/01,"今村 基",12243,11978.92,12176.50,"yes"
grain,2016/06/01,"今村 基",13686,11978.92,12176.50,"yes"
grain,2016/07/01,"今村 基",10956,11978.92,12176.50,"no"
grain,2016/08/01,"今村 基",12706,11978.92,12176.50,"yes"
grain,2016/09/01,"今村 基",12279,11978.92,12176.50,"yes"
grain,2016/10/01,"今村 基",11914,11978.92,12176.50,"no"
grain,2016/11/01,"今村 基",13025,11978.92,12176.50,"yes"
grain,2016/12/01,"今村 基",14431,11978.92,12176.50,"yes"
